Ticket number,Issue Date,Issue time,Meter Id,Marked Time,RP State Plate,Plate Expiry Date,VIN,Make,Body Style,Color,Location,Route,Agency,Violation code,Violation Description,Fine amount,Latitude,Longitude,Agency Description,Color Description,Body Style Description
4272591363,2015-12-30T00:00:00.000,732,,,CA,201611,,TOYT,PA,BL,5514 MAIN ST,00546,55,80.69A+,STOP/STAND PROHIBIT,93,99999,99999,,,
4272591374,2015-12-30T00:00:00.000,749,,,CA,201604,,TOYT,PA,GY,5312 BROADWAY S,00546,55,80.69A+,STOP/STAND PROHIBIT,93,6477306.3,1820353.5,,,
4272591396,2015-12-30T00:00:00.000,753,,,TN,,,FORD,PA,GY,5200 BROADWAY S,00546,55,80.69A+,STOP/STAND PROHIBIT,93,6477306.2,1820881.7,,,
4272591400,2015-12-30T00:00:00.000,805,,,CA,201604,,NISS,PA,BL,844 58TH ST W,00546,55,80.69BS,NO PARK/STREET CLEAN,73,6474374.2,1818760.1,,,
4272591411,2015-12-30T00:00:00.000,809,,,CA,201607,,HOND,PA,WT,917 57TH ST W,00546,55,80.69BS,NO PARK/STREET CLEAN,73,6473858.4,1819053.9,,,
4272591422,2015-12-30T00:00:00.000,813,,,CA,201603,,NISS,PA,WT,853 55TH ST W,00546,55,80.69BS,NO PARK/STREET CLEAN,73,99999,99999,,,
4272591433,2015-12-30T00:00:00.000,817,,,CA,201605,,NISS,PA,BK,828 52ND ST W,00546,55,80.69BS,NO PARK/STREET CLEAN,73,6482714.1,1820956.5,,,
4272591444,2015-12-30T00:00:00.000,819,,,CA,201605,,KIA,PA,WT,856 52ND ST W,00546,55,80.69BS,NO PARK/STREET CLEAN,73,6482825.2,1820957.4,,,
4272591455,2015-12-30T00:00:00.000,820,,,CA,201602,,CHEV,PA,SL,856 52ND ST W,00546,55,80.69BS,NO PARK/STREET CLEAN,73,6482825.2,1820957.4,,,
4272591466,2015-12-30T00:00:00.000,824,,,CA,201608,,KIA,PA,WT,910 50TH ST W,00546,55,80.69BS,NO PARK/STREET CLEAN,73,99999,99999,,,
4272591470,2015-12-30T00:00:00.000,828,,,CA,201605,,FORD,PA,BL,827 49TH ST W,00546,55,80.69BS,NO PARK/STREET CLEAN,73,99999,99999,,,
4272591481,2015-12-30T00:00:00.000,830,,,WA,,,CHEV,PA,RD,925 49TH ST W,00546,55,80.69BS,NO PARK/STREET CLEAN,73,99999,99999,,,
4272591492,2015-12-30T00:00:00.000,831,,,WA,,,MAZD,PA,GN,925 49TH ST W,00546,55,80.69BS,NO PARK/STREET CLEAN,73,99999,99999,,,
4272591503,2015-12-30T00:00:00.000,833,,,CA,201602,,MAZD,PA,BK,824 48TH ST W,00546,55,80.69BS,NO PARK/STREET CLEAN,73,6474481.6,1822372.2,,,
4272591514,2015-12-30T00:00:00.000,834,,,CA,201606,,BMW,PA,SL,820 48TH ST W,00546,55,80.69BS,NO PARK/STREET CLEAN,73,6474508.7,1822372.4,,,
4272591525,2015-12-30T00:00:00.000,837,,,CA,201606,,FORD,TK,WT,4520 ORCHARD AVE,00546,55,80.69BS,NO PARK/STREET CLEAN,73,6474079,1823393.8,,,
4272591536,2015-12-30T00:00:00.000,839,,,CA,201609,,NISS,TK,WT,AF4421 ORCHARD AVE,00546,55,80.69BS,NO PARK/STREET CLEAN,73,99999,99999,,,
4272591540,2015-12-30T00:00:00.000,840,,,CA,201611,,AUDI,PA,BK,AF4421 ORCHARD AVE,00546,55,80.69BS,NO PARK/STREET CLEAN,73,99999,99999,,,
4272591551,2015-12-30T00:00:00.000,842,,,CA,201610,,HOND,PA,SL,4531 WESLEY AVE,00546,55,80.69BS,NO PARK/STREET CLEAN,73,99999,99999,,,
4272591562,2015-12-30T00:00:00.000,923,,,CA,201602,,TOYT,PA,SL,710 51ST ST W,00546,55,80.69BS,NO PARK/STREET CLEAN,73,99999,99999,,,
4272591573,2015-12-30T00:00:00.000,953,,,CA,201602,,NISS,PA,BK,500 52ND PL W,00546,55,80.69BS,NO PARK/STREET CLEAN,73,99999,99999,,,
4272591584,2015-12-30T00:00:00.000,956,,,CA,201511,,NISS,PA,BK,517 57TH ST W,00546,55,80.69BS,NO PARK/STREET CLEAN,73,6475908.5,1819068.9,,,
4272591595,2015-12-30T00:00:00.000,1018,,,CA,,,HOND,PA,GO,500 56TH ST W,00546,55,80.69BS,NO PARK/STREET CLEAN,73,6475981,1819399.1,,,
4272591606,2015-12-30T00:00:00.000,1110,,,CA,201610,,CHEV,PA,WT,500 40TH PL E,00546,55,80.69BS,NO PARK/STREET CLEAN,73,6475981.8,1826346.7,,,
4272591610,2015-12-30T00:00:00.000,1114,,,CA,201609,,TOYT,PA,SL,832 W40PL,00546,55,80.69BS,NO PARK/STREET CLEAN,73,99999,99999,,,
4272591621,2015-12-30T00:00:00.000,1117,,,CA,201607,,TOYT,PA,BL,831 41ST ST W,00546,55,80.69BS,NO PARK/STREET CLEAN,73,99999,99999,,,
4272591632,2015-12-30T00:00:00.000,1121,,,CA,201609,,NISS,PA,WT,850 41ST DR W,00546,55,80.69BS,NO PARK/STREET CLEAN,73,99999,99999,,,
4272591643,2015-12-30T00:00:00.000,1131,,,CA,201603,,HOND,PA,BK,810 43RD PL,00546,55,80.69BS,NO PARK/STREET CLEAN,73,99999,99999,,,
4272591654,2015-12-30T00:00:00.000,1139,,,CA,201609,,HOND,PA,BK,505 43RD PL,00546,55,80.69BS,NO PARK/STREET CLEAN,73,99999,99999,,,
4272594804,2015-12-30T00:00:00.000,837,,,CA,,,MAZD,PA,GY,4539 AMBROSE AVE,00448,54,80.69BS,NO PARK/STREET CLEAN,73,6474200.7,1862522.3,,,
4272594815,2015-12-30T00:00:00.000,840,,,CA,201605,,HOND,PA,WT,4539 AMBROSE AVE,00448,54,80.69BS,NO PARK/STREET CLEAN,73,6474200.7,1862522.3,,,
4272594826,2015-12-30T00:00:00.000,842,,,CA,201601,,SUBA,PA,RD,4619 AMBROSE AVE,00448,54,80.69BS,NO PARK/STREET CLEAN,73,6473653.3,1862522.3,,,
4272594830,2015-12-30T00:00:00.000,847,,,NC,201602,,NISS,PA,WT,2050 DRACENA DR,00448,54,80.69BS,NO PARK/STREET CLEAN,73,6473810.3,1862186.4,,,
4272594841,2015-12-30T00:00:00.000,1029,,,CA,201607,,NISS,PA,SL,4603 MAUBERT AVE,00448,54,80.69BS,NO PARK/STREET CLEAN,73,6473984.8,1858569.9,,,
4272594852,2015-12-30T00:00:00.000,1032,,,CA,201602,,DODG,PA,BL,4645 MAUBERT AVE,00448,54,80.69BS,NO PARK/STREET CLEAN,73,6473702,1858570,,,
4272594863,2015-12-30T00:00:00.000,1033,,,CA,201604,,NISS,PA,GN,4645 MAUBERT AVE,00448,54,80.69BS,NO PARK/STREET CLEAN,73,6473702,1858570,,,
4272594874,2015-12-30T00:00:00.000,1124,,,CA,,,MITS,PA,WT,700 KENMORE AVE,00448,54,80.69BS,NO PARK/STREET CLEAN,73,6471735,1852928.9,,,
4272594885,2015-12-30T00:00:00.000,1133,,1110,CA,201605,,TOYT,PA,SL,5108 FOUNTAIN AVE,00448,54,80.69C,PARKED OVER TIME LIM,58,6470639.1,1857168.9,,,
4272594896,2015-12-30T00:00:00.000,1218,,,CA,201612,,MERC,PA,RD,2019 TALMADGE ST,00448,54,80.69BS,NO PARK/STREET CLEAN,73,99999,99999,,,
4272594900,2015-12-30T00:00:00.000,1222,,,CA,201601,,HOND,PA,GY,1945 TALMADGE ST,00448,54,80.69BS,NO PARK/STREET CLEAN,73,6475982.5,1861355.3,,,
4272594911,2015-12-30T00:00:00.000,1223,,,CA,201601,,MERZ,PA,BK,1933 TALMADGE ST,00448,54,80.69BS,NO PARK/STREET CLEAN,73,6475982.5,1861231.3,,,
4272594922,2015-12-30T00:00:00.000,1229,,,CA,201608,,TOYT,PA,RD,2012 COMMONWEALTH AVE N,00448,54,80.69BS,NO PARK/STREET CLEAN,73,6475322.6,1861849,,,
4272594933,2015-12-30T00:00:00.000,1232,,,CA,201601,,MAZD,PA,WT,2022 COMMONWEALTH AVE N,00448,54,80.69BS,NO PARK/STREET CLEAN,73,6475322.8,1861977,,,
4272594944,2015-12-30T00:00:00.000,1235,,,CA,201603,,MNNI,PA,SL,2062 COMMONWEALTH AVE N,00448,54,80.69BS,NO PARK/STREET CLEAN,73,99999,99999,,,
4272594955,2015-12-30T00:00:00.000,1238,,,CA,201605,,TOYT,PA,BK,2070 COMMONWEALTH AVE N,00448,54,80.69BS,NO PARK/STREET CLEAN,73,99999,99999,,,
4272594966,2015-12-30T00:00:00.000,1241,,,CA,201611,,TOYT,PA,WT,2126 COMMONWEALTH AVE N,00448,54,80.69BS,NO PARK/STREET CLEAN,73,99999,99999,,,
4272594970,2015-12-30T00:00:00.000,1243,,,CA,201606,,TOYT,PA,SL,2126 COMMONWEALTH AVE N,00448,54,80.69BS,NO PARK/STREET CLEAN,73,99999,99999,,,
4272594981,2015-12-30T00:00:00.000,1249,,,PA,201206,,FORD,PA,GY,4327 AVOCADO ST,00448,54,80.69BS,NO PARK/STREET CLEAN,73,99999,99999,,,
4272601771,2015-12-30T00:00:00.000,936,HW90,,CA,201607,,LINC,PA,OT,5201 SUNSET BL,00483,54,88.13B+,METER EXP.,63,6469891.1,1858227.2,,,
4272601782,2015-12-30T00:00:00.000,945,,,CA,201601,,ISU,PA,OT,1680 WILTON PL N,00483,54,80.69B,NO PARKING,73,6466720.5,1859414.4,,,
4272601793,2015-12-30T00:00:00.000,1010,HO493A,,TX,201307,,HOND,PA,BL,6401 YUCCA ST,00483,54,88.13B+,METER EXP.,63,6461862.3,1860366.2,,,
4272601804,2015-12-30T00:00:00.000,1148,,,CA,201608,,CHEV,PA,YE,6201 HOLLYWOOD BLVD,00483,54,80.56E4+,RED ZONE,93,6463435.6,1859528,,,
4272601815,2015-12-30T00:00:00.000,1155,HO969,,CA,201604,,FIAT,PA,BK,1701 WHITLEY AV,00483,54,88.13B+,METER EXP.,63,6460757,1859516,,,
4272601826,2015-12-30T00:00:00.000,1159,HO108,,CA,201607,,VOLK,PA,OT,1601 SCHRADER BL,00483,54,88.13B+,METER EXP.,63,6461015.7,1858853.6,,,
4272601830,2015-12-30T00:00:00.000,1203,SV605,,CA,201607,,TOYT,PA,OT,1500 LAS PALMAS AV N,00483,54,88.13B+,METER EXP.,63,6459850.1,1858208.2,,,
4272601841,2015-12-30T00:00:00.000,1231,HO404,,CA,201606,,JEEP,PA,WT,6101 HOLLYWOOD BL,00483,54,88.13B+,METER EXP.,63,6464089.5,1859531,,,
4272601852,2015-12-30T00:00:00.000,1237,HO197,,CA,201605,,TOYT,PA,SL,1600 IVAR AV,00483,54,88.13B+,METER EXP.,63,6462312.7,1858856.2,,,
4272601863,2015-12-30T00:00:00.000,1245,HO662A,,CA,201609,,LEXS,PA,RD,1700 CHEROKEE AV,00483,54,88.13B+,METER EXP.,63,6460327.1,1859514.2,,,
4272601874,2015-12-30T00:00:00.000,1304,HO463,,CA,201611,,HYUN,PA,GY,1700 VINE ST,00483,54,88.13B+,METER EXP.,63,6462769.9,1859525.1,,,
4272601885,2015-12-30T00:00:00.000,1322,,,CA,201607,,MAZD,PA,RD,1570 EDGEMONT ST N,00483,54,80.69BS,NO PARK/STREET CLEAN,73,6472015.7,1858606.3,,,
4272601896,2015-12-30T00:00:00.000,1458,HO1069,,CA,201606,,CHEV,PA,WT,6500 SELMA AV,00483,54,88.13B+,METER EXP.,63,6461452.3,1858854.3,,,
4272601900,2015-12-30T00:00:00.000,1506,HO559,,CA,201603,,FORD,PA,SL,1701 IVAR AV,00483,54,88.13B+,METER EXP.,63,6462321.2,1859523.3,,,
4272601911,2015-12-30T00:00:00.000,1602,HO620,,CA,201605,,VOLV,PA,OT,1701 WILCOX AV,00483,54,88.13B+,METER EXP.,63,6461453.8,1857874.1,,,
4272603451,2015-12-30T00:00:00.000,229,,,CA,201607,,TOYT,PA,GY,1237 ALVARADO ST S,00107,55,80.61,STANDNG IN ALLEY,68,99999,99999,,,
4272603462,2015-12-30T00:00:00.000,254,,,CA,201607,,DODG,PA,SL,2101 12TH ST W,00107,55,80.56E4+,RED ZONE,93,99999,99999,,,
4272603473,2015-12-30T00:00:00.000,301,,,CO,201607,,HYUN,PA,WT,2300 12TH ST W,00107,55,80.56E4+,RED ZONE,93,6475587.7,1840381,,,
4272603484,2015-12-30T00:00:00.000,537,,,CA,201607,,TOYT,PA,BG,5115 COLISEUM ST W,00107,55,80.69AA+,NO STOP/STAND,93,6453722.2,1829239.7,,,
4272603495,2015-12-30T00:00:00.000,539,,,CA,201601,,FORD,PA,GY,5115 COLISEUM ST W,00107,55,80.69AA+,NO STOP/STAND,93,6453722.2,1829239.7,,,
4272603506,2015-12-30T00:00:00.000,544,,,CA,201607,,TOYT,PA,BL,3954 URSULA AVE,00107,55,80.56E4+,RED ZONE,93,6454865.9,1828221.1,,,
4272603510,2015-12-30T00:00:00.000,547,,,CA,201610,,TOYT,PA,WT,4650 AUGUST ST,00107,55,22514,FIRE HYDRANT,68,6455679.2,1828810.2,,,
4272603521,2015-12-30T00:00:00.000,553,,,CA,201607,,FORD,PA,BL,4155 PALMYRA ROAD,00107,55,80.56E4+,RED ZONE,93,99999,99999,,,
4272603532,2015-12-30T00:00:00.000,705,,,CA,201605,,MITS,PA,RD,3680 4TH AVE,00107,55,80.69B,NO PARKING,73,99999,99999,,,
4272603543,2015-12-30T00:00:00.000,710,,,CA,201701,,TOYT,PA,SL,3672 4TH AVE,00107,55,80.69B,NO PARKING,73,99999,99999,,,
4272603554,2015-12-30T00:00:00.000,711,,,CA,201611,,KIA,PA,WT,3685 4TH AVE,00107,55,80.69B,NO PARKING,73,6464305,1830131.7,,,
4272603565,2015-12-30T00:00:00.000,715,,,CA,201604,,HOND,PA,RD,3636 4TH AVE,00107,55,80.69B,NO PARKING,73,6464310.8,1830541,,,
4272603576,2015-12-30T00:00:00.000,719,,,CA,201612,,NISS,PA,GN,3604 4TH AVE,00107,55,80.69B,NO PARKING,73,99999,99999,,,
4272603580,2015-12-30T00:00:00.000,757,,,CA,201607,,DODG,PU,RD,2823 EDGECLIFFE DR,00107,55,22500E,BLOCKING DRIVEWAY,68,99999,99999,,,
4272603591,2015-12-30T00:00:00.000,806,,,CA,201610,,CHRY,PA,GN,3421 ARLINGTON AVE,00107,55,80.69AA+,NO STOP/STAND,93,6465418.7,1831736.6,,,
4272603602,2015-12-30T00:00:00.000,809,,,CA,201605,,LNDR,PA,GN,3737 ARLINGTON AVE,00107,55,80.69AA+,NO STOP/STAND,93,99999,99999,,,
4272615922,2015-12-30T00:00:00.000,800,,,CA,201612,,HYUN,PA,BK,4621 W MELBOURNE AVE,00444,54,80.69BS,NO PARK/STREET CLEAN,73,6473864.9,1860210.5,,,
4272615933,2015-12-30T00:00:00.000,802,,,TX,201508,,KIA,PA,WT,4623 W MELBOURNE AVE,00444,54,80.69BS,NO PARK/STREET CLEAN,73,6473851.4,1860210.5,,,
4272615944,2015-12-30T00:00:00.000,804,,,TX,,,KAWK,PA,GN,4633 MELBOURNE AVE,00444,54,80.69BS,NO PARK/STREET CLEAN,73,6473783.9,1860210.5,,,
4272615955,2015-12-30T00:00:00.000,809,,,MN,201511,,VOLK,PA,BK,4633 MELBOURNE AVE,00444,54,80.69BS,NO PARK/STREET CLEAN,73,6473783.9,1860210.5,,,
4272615966,2015-12-30T00:00:00.000,812,,,CA,,,INFI,PA,GY,4633 MELBOURNE AVE,00444,54,22500F,PARKED ON SIDEWALK,68,6473783.9,1860210.5,,,
4272615970,2015-12-30T00:00:00.000,817,,,CA,201601,,BMW,PA,WT,4608 W KINGSWELL AVE,00444,54,80.69BS,NO PARK/STREET CLEAN,73,6473946,1859880.4,,,
4272615981,2015-12-30T00:00:00.000,1006,,,CA,201606,,HOND,PA,MR,5165 W FOUNTAIN AVE,00444,54,80.69BS,NO PARK/STREET CLEAN,73,6470304.8,1857155.3,,,
4272615992,2015-12-30T00:00:00.000,1007,,,NV,201608,,VOLK,PA,BL,5179 W FOUNTAIN AVE,00444,54,80.69BS,NO PARK/STREET CLEAN,73,6470086.8,1857146.5,,,
4272616003,2015-12-30T00:00:00.000,1009,,,CA,201602,,MITS,PA,GO,5229 W FOUNTAIN AVE,00444,54,80.69BS,NO PARK/STREET CLEAN,73,99999,99999,,,
4272626536,2015-12-30T00:00:00.000,1011,,,CA,201608,,TOYT,PA,WT,8111 VENTURA CANYON AVE,00801,53,22507.8A,DISABLED PARKING/NO,363,6432061.2,1902025.2,,,
4272626540,2015-12-30T00:00:00.000,1113,,,CA,201605,,NISS,PA,BK,6345 VARIEL AVE,00801,53,22507.8A,DISABLED PARKING/NO,363,6382390.8,1890422.6,,,
4272626551,2015-12-30T00:00:00.000,1119,,,CA,201607,,HYUN,PA,WT,21263 ERWIN ST,00801,53,22507.8A,DISABLED PARKING/NO,363,6381633.5,1889460.1,,,
4272626562,2015-12-30T00:00:00.000,1121,,,CA,201609,,CADI,PA,BK,21263 ERWIN ST,00801,53,22507.8A,DISABLED PARKING/NO,363,6381633.5,1889460.1,,,
4272626573,2015-12-30T00:00:00.000,1144,,,CA,201604,,TOYT,PA,SL,6651 FALLBROOK AVE,00801,53,22507.8A,DISABLED PARKING/NO,363,6373154.7,1892632.2,,,
4272626584,2015-12-30T00:00:00.000,1210,,,CA,201604,,TOYT,PA,SL,6701 OWENSMOUTH AVE,00801,53,22507.8A,DISABLED PARKING/NO,363,6379757.6,1892717.2,,,
4272626595,2015-12-30T00:00:00.000,1218,,,CA,201608,,VOLK,PA,SL,6701 OWENSMOUTH AVE,00801,53,22507.8A,DISABLED PARKING/NO,363,6379757.6,1892717.2,,,
4272626606,2015-12-30T00:00:00.000,1224,,,CA,201606,,MERZ,PA,BK,6550 TOPANGA CANYON BLVD,00801,53,22507.8A,DISABLED PARKING/NO,363,6378459.4,1891930.6,,,
4272626610,2015-12-30T00:00:00.000,1306,,,CA,201605,,OTHR,MH,WT,22569 MULHOLLAND DR,00801,53,22502A,18 IN. CURB/2 WAY,63,6374856.4,1877508.5,,,
4272626621,2015-12-30T00:00:00.000,1535,,,CA,201609,,HOND,PA,GY,6550 TOPANGA CANYON BLVD,00801,53,22507.8A,DISABLED PARKING/NO,363,6378459.4,1891930.6,,,
4272626632,2015-12-30T00:00:00.000,1547,,,CA,201612,,TOYT,PA,GY,6701 OWENSMOUTH AVE,00801,53,22507.8A,DISABLED PARKING/NO,363,6379757.6,1892717.2,,,
4272630504,2015-12-30T00:00:00.000,948,,,CA,201607,,FORD,PA,WT,4867 SUNSET BLVD W,00400,54,80.56E1,WHITE ZONE,58,6472239,1858229,,,
4272630515,2015-12-30T00:00:00.000,950,,,CA,201602,,TOYT,TK,WT,4867 SUNSET BLVD W,00400,54,80.56E1,WHITE ZONE,58,6472239,1858229,,,
4272630526,2015-12-30T00:00:00.000,952,,,CA,201612,,TOYT,TK,SL,4867 SUNSET BLVD W,00400,54,80.56E1,WHITE ZONE,58,6472239,1858229,,,
4272630530,2015-12-30T00:00:00.000,1016,185,,CA,201605,,MERZ,PA,BL,7475 MULHOLLAND DR,00400,54,80.58L,PREFERENTIAL PARKING,68,6453168,1867842,,,
4272630541,2015-12-30T00:00:00.000,1018,185,,CA,201609,,AUDI,PA,GY,7475 MULHOLLAND DR,00400,54,80.58L,PREFERENTIAL PARKING,68,6453168,1867842,,,
4272630552,2015-12-30T00:00:00.000,1022,185,,CA,,,TOYT,PA,GY,7484 MULHOLLAND DR,00400,54,80.58L,PREFERENTIAL PARKING,68,6453151.7,1867860.6,,,
4272630563,2015-12-30T00:00:00.000,1038,,,CA,201604,,MERZ,PA,BK,1542 N CAHUENGA BLVD,00400,54,80.69B,NO PARKING,73,6461908.5,1858484.2,,,
4272630574,2015-12-30T00:00:00.000,1206,,,CA,201608,,NISS,TK,RD,6201 YUCCA ST,00400,54,80.69A+,STOP/STAND PROHIBIT,93,6463215,1860288.6,,,
4272630585,2015-12-30T00:00:00.000,1237,HO449,,CA,201602,,TOYT,PA,BL,6201 HOLLYWOOD BL,00400,54,88.13B+,METER EXP.,63,6463435.6,1859528,,,
4272630596,2015-12-30T00:00:00.000,1251,,,CA,201508,,INFI,PA,SL,6800 SUNSET BLVD W,00400,54,5204A-,DISPLAY OF TABS,25,99999,99999,,,
4272630600,2015-12-30T00:00:00.000,1304,,,CA,201605,,NISS,PA,GY,4867 SUNSET BLVD W,00400,54,80.56E1,WHITE ZONE,58,6472239,1858229,,,
4272630611,2015-12-30T00:00:00.000,1457,,,CA,201603,,HOND,PA,SL,4867 SUNSET BLVD W,00400,54,80.56E1,WHITE ZONE,58,6472239,1858229,,,
4272630622,2015-12-30T00:00:00.000,1458,,,CA,201605,,ACUR,PA,GY,4867 SUNSET BLVD W,00400,54,80.56E1,WHITE ZONE,58,6472239,1858229,,,
4272630633,2015-12-30T00:00:00.000,1508,,,CA,201610,,TOYT,PA,WT,4906 MELROSE AVE,00400,54,80.69AP+,NO STOP/STANDING,93,99999,99999,,,
4272630644,2015-12-30T00:00:00.000,1513,,,CA,201611,,TOYT,PA,WT,5625 MELROSE AVE,00400,54,80.69AP+,NO STOP/STANDING,93,6464013.6,1852925.9,,,
4272630655,2015-12-30T00:00:00.000,1516,,,AZ,,,KIA,PA,GY,5630 MELROSE AVE,00400,54,80.69AP+,NO STOP/STANDING,93,6463865.6,1852925.9,,,
4272630666,2015-12-30T00:00:00.000,1618,,,CA,201604,,MERZ,PA,BK,5913 GREGORY AVE,00400,54,5200,DISPLAY OF PLATES,25,99999,99999,,,
4272633643,2015-12-30T00:00:00.000,1123,WS507,,CA,201512,,TOYT,PA,GY,1800 PONTIUS AV,00901,51,88.13B+,METER EXP.,63,6427358.5,1839277.8,,,
4272633654,2015-12-30T00:00:00.000,1124,WS505,,CA,201606,,HOND,VN,WT,1800 PONTIUS AV,00901,51,88.13B+,METER EXP.,63,6427358.5,1839277.8,,,
4272633665,2015-12-30T00:00:00.000,1133,WS558,,CA,201604,,NISS,PA,GY,10901 ASHTON AV,00901,51,88.13B+,METER EXP.,63,6427412.6,1843717.8,,,
4272723151,2015-12-30T00:00:00.000,938,,,CA,201603,,HOND,PA,BK,834 GREEN AVE,647R2,56,80.69B,NO PARKING,73,99999,99999,,,
4272633676,2015-12-30T00:00:00.000,1144,WV299,,CA,201612,,HOND,PA,GY,10887 LINDBROOK DR,00901,51,88.13B+,METER EXP.,63,6427135.5,1844422.2,,,
4272633680,2015-12-30T00:00:00.000,1150,WV504,,CA,201606,,MERZ,PA,SL,10801 LE CONTE AV,00901,51,88.13B+,METER EXP.,63,6428081.3,1845970.5,,,
4272633691,2015-12-30T00:00:00.000,1216,PW17075,,CA,201611,,TSMR,PA,GY,2377 MIDVALE AVE,00901,51,88.13B+,METER EXP.,63,6431428.1,1837269.9,,,
4272633702,2015-12-30T00:00:00.000,1218,PW17075,,CA,201612,,FORD,PA,BK,2377 MIDVALE AVE,00901,51,88.13B+,METER EXP.,63,6431428.1,1837269.9,,,
4272633713,2015-12-30T00:00:00.000,1317,,,CA,201610,,MERZ,PA,BG,574 VIA SANTA YNEZ,00901,51,80.73.2,EXCEED 72HRS-ST,68,99999,99999,,,
4272633724,2015-12-30T00:00:00.000,1401,WSV4,,CA,201602,,HOND,PA,BL,11466 SAN VICENTE BL,00901,51,88.13B+,METER EXP.,63,99999,99999,,,
4272633735,2015-12-30T00:00:00.000,1508,,,CA,201610,,HYUN,PA,WT,11055 OLYMPIC BLVD,00901,51,80.70,NO STOPPING/ANTI-GRI,163,6429240.7,1837468.4,,,
4272633746,2015-12-30T00:00:00.000,1509,,,CA,201610,,HOND,PA,GO,11055 OLYMPIC BLVD,00901,51,80.70,NO STOPPING/ANTI-GRI,163,6429240.7,1837468.4,,,
4272633750,2015-12-30T00:00:00.000,1621,,,CA,201610,,HOND,PA,SL,10700 PICO BLVD,00901,51,80.70,NO STOPPING/ANTI-GRI,163,6433018.3,1837916.7,,,
4272633761,2015-12-30T00:00:00.000,1628,,,CA,201609,,TOYT,PA,GY,10779 PICO BLVD,00901,51,80.70,NO STOPPING/ANTI-GRI,163,6432303.8,1837512.1,,,
4272633772,2015-12-30T00:00:00.000,1651,,,CA,201609,,HYUN,PA,GY,1267 BARRY AVE,00901,51,80.56E4+,RED ZONE,93,6422713.7,1840353.1,,,
4272633783,2015-12-30T00:00:00.000,1657,,,CA,,,MERZ,PA,BK,11617 SANTA MONICA BLVD,00901,51,80.70,NO STOPPING/ANTI-GRI,163,6424040.6,1838896.1,,,
4272633794,2015-12-30T00:00:00.000,1725,,,CA,201604,,BMW,PA,GY,11857 SANTA MONICA BLVD,00901,51,80.70,NO STOPPING/ANTI-GRI,163,6422519.8,1838099.8,,,
4272647256,2015-12-30T00:00:00.000,745,,,CA,201609,,GMC,PA,WT,1500 OLYMPIC BLVD,647R1,56,80.56E4+,RED ZONE,93,6488177.7,1833632.6,,,
4272647260,2015-12-30T00:00:00.000,822,,,CA,201609,,GMC,PA,BN,600 BONNIE BRAE ST,647R1,56,80.56E4+,RED ZONE,93,6479116.1,1843785.6,,,
4272647271,2015-12-30T00:00:00.000,831,,,CA,201601,,GMC,PA,BN,600 BURLINGTON AVE,647R1,56,80.56E4+,RED ZONE,93,6479446.3,1843607.4,,,
4272647282,2015-12-30T00:00:00.000,915,,,CA,201508,,GMC,PA,BN,901 YALE ST,647R1,56,22500H,DOUBLE PARKING,68,6488994.2,1846080.4,,,
4272647293,2015-12-30T00:00:00.000,922,,,CA,201607,,GMC,PA,WT,500 ALPINE ST,647R1,56,80.56E4+,RED ZONE,93,6489116,1845307.1,,,
4272647315,2015-12-30T00:00:00.000,931,,,CA,201607,,GMC,PA,BN,810 NORTH BROADWAY,647R1,56,80.56E4+,RED ZONE,93,6489515,1845215,,,
4272647326,2015-12-30T00:00:00.000,936,,,CA,201608,,GMC,PA,WT,800 VIGNES ST,647R1,56,80.56E4+,RED ZONE,93,99999,99999,,,
4272647330,2015-12-30T00:00:00.000,1034,,,CA,201607,,GMC,PA,BN,600 CESAR E CHAVEZ AVE E,647R1,56,80.56E4+,RED ZONE,93,6488040,1844357.7,,,
4272647341,2015-12-30T00:00:00.000,1048,,,CA,201701,,GMC,PA,BN,802 ALPINE ST,647R1,56,80.56E4+,RED ZONE,93,99999,99999,,,
4272647352,2015-12-30T00:00:00.000,1229,,,CA,201608,,GMC,PA,WT,3000 LINCOLN PARK AVE,647R1,56,80.56E4+,RED ZONE,93,99999,99999,,,
4272647363,2015-12-30T00:00:00.000,1233,,,TX,201608,,TOYT,PA,BK,2735 LINCOLN PARK AVE,647R1,56,80.69BS,NO PARK/STREET CLEAN,73,99999,99999,,,
4272647374,2015-12-30T00:00:00.000,1235,,,CA,201611,,KIA,PA,BK,3622 POMONA ST,647R1,56,80.69BS,NO PARK/STREET CLEAN,73,99999,99999,,,
4272647385,2015-12-30T00:00:00.000,1238,,,CA,201512,,BMW,PA,BK,3310 SIERRA ST,647R1,56,80.69BS,NO PARK/STREET CLEAN,73,99999,99999,,,
4272647396,2015-12-30T00:00:00.000,1243,,,CA,201608,,TOYT,PA,BL,2416 EASTERN AVE,647R1,56,80.69BS,NO PARK/STREET CLEAN,73,99999,99999,,,
4272647400,2015-12-30T00:00:00.000,1244,,,CA,201601,,FORD,PA,BK,2432 EASTERN AVE,647R1,56,80.69BS,NO PARK/STREET CLEAN,73,99999,99999,,,
4272647411,2015-12-30T00:00:00.000,1245,,,CA,201606,,BMW,PA,BK,2432 EASTERN AVE,647R1,56,80.69BS,NO PARK/STREET CLEAN,73,99999,99999,,,
4272647422,2015-12-30T00:00:00.000,1246,,,CA,201610,,TOYT,PA,WT,2432 EASTERN AVE,647R1,56,80.69BS,NO PARK/STREET CLEAN,73,99999,99999,,,
